pot.label,census,calendar.date,rep,within.rep,density,treatment,species,researcher.inititals,number.of.plants,height.cm,number.of.leaves,final.mass.above,final.mass.below
317,1,,5,1,2,shade,Plantago insularis,,2,46,4,,
317,1,,5,2,2,shade,Plantago insularis,,2,51,4,,
318,1,,6,1,2,shade,Plantago insularis,,2,65,4,,
318,1,,6,2,2,shade,Plantago insularis,,2,55,4,,
319,1,,7,1,2,shade,Plantago insularis,,2,29,4,,
319,1,,7,2,2,shade,Plantago insularis,,2,45,1,,
320,1,,8,1,2,shade,Plantago insularis,,2,46,4,,
320,1,,8,2,2,shade,Plantago insularis,,2,49,4,,
321,1,,9,1,2,shade,Plantago insularis,,2,40,4,,
321,1,,9,2,2,shade,Plantago insularis,,2,54,5,,
322,1,,10,1,2,shade,Plantago insularis,,1,21,2,,
322,1,,10,2,2,shade,Plantago insularis,,,,,,
323,1,,11,1,2,shade,Plantago insularis,,1,65,5,,
323,1,,11,2,2,shade,Plantago insularis,,,,,,
324,1,,12,1,2,shade,Plantago insularis,,2,73,4,,
324,1,,12,2,2,shade,Plantago insularis,,2,63,4,,
325,1,,1,1,5,shade,Plantago insularis,,5,34,4,,
325,1,,1,2,5,shade,Plantago insularis,,5,40,3,,
325,1,,1,3,5,shade,Plantago insularis,,5,44,4,,
326,1,,2,1,5,shade,Plantago insularis,,5,55,4,,
326,1,,2,2,5,shade,Plantago insularis,,5,39,4,,
326,1,,2,3,5,shade,Plantago insularis,,5,50,4,,
327,1,,3,1,5,shade,Plantago insularis,,4,52,3,,
327,1,,3,2,5,shade,Plantago insularis,,4,44,4,,
327,1,,3,3,5,shade,Plantago insularis,,4,49,4,,
328,1,,4,1,5,shade,Plantago insularis,,5,44,4,,
328,1,,4,2,5,shade,Plantago insularis,,5,54,4,,
328,1,,4,3,5,shade,Plantago insularis,,5,53,4,,
329,1,,5,1,5,shade,Plantago insularis,,5,51,4,,
329,1,,5,2,5,shade,Plantago insularis,,5,61,4,,
329,1,,5,3,5,shade,Plantago insularis,,5,57,4,,
330,1,,6,1,5,shade,Plantago insularis,,5,52,4,,
330,1,,6,2,5,shade,Plantago insularis,,5,54,5,,
330,1,,6,3,5,shade,Plantago insularis,,5,52,4,,
331,1,,7,1,5,shade,Plantago insularis,,4,44,5,,
331,1,,7,2,5,shade,Plantago insularis,,4,40,5,,
331,1,,7,3,5,shade,Plantago insularis,,4,50,4,,
332,1,,8,1,5,shade,Plantago insularis,,5,36,2,,
332,1,,8,2,5,shade,Plantago insularis,,5,44,4,,
332,1,,8,3,5,shade,Plantago insularis,,5,42,3,,
333,1,,9,1,5,shade,Plantago insularis,,,,,,
333,1,,9,2,5,shade,Plantago insularis,,,,,,
333,1,,9,3,5,shade,Plantago insularis,,,,,,
334,1,,10,1,5,shade,Plantago insularis,,5,20,1,,
334,1,,10,2,5,shade,Plantago insularis,,5,56,3,,
334,1,,10,3,5,shade,Plantago insularis,,5,27,2,,
335,1,,11,1,5,shade,Plantago insularis,,2,41,4,,
335,1,,11,2,5,shade,Plantago insularis,,2,39,4,,
335,1,,11,3,5,shade,Plantago insularis,,5,53,5,,
336,1,,12,1,5,shade,Plantago insularis,,5,39,4,,
336,1,,12,2,5,shade,Plantago insularis,,5,68,4,,
336,1,,12,3,5,shade,Plantago insularis,,,,,,
337,1,,1,1,10,shade,Plantago insularis,,7,51,4,,
337,1,,1,2,10,shade,Plantago insularis,,7,32,4,,
337,1,,1,3,10,shade,Plantago insularis,,7,54,4,,
338,1,,2,1,10,shade,Plantago insularis,,7,32,2,,
338,1,,2,2,10,shade,Plantago insularis,,7,7,2,,
338,1,,2,3,10,shade,Plantago insularis,,7,30,2,,
339,1,,3,1,10,shade,Plantago insularis,,8,31,4,,
339,1,,3,2,10,shade,Plantago insularis,,8,64,4,,
339,1,,3,3,10,shade,Plantago insularis,,8,51,4,,
340,1,,4,1,10,shade,Plantago insularis,,8,49,5,,
340,1,,4,2,10,shade,Plantago insularis,,8,57,4,,
340,1,,4,3,10,shade,Plantago insularis,,8,45,6,,
341,1,,5,1,10,shade,Plantago insularis,,6,20,4,,
341,1,,5,2,10,shade,Plantago insularis,,6,31,2,,
341,1,,5,3,10,shade,Plantago insularis,,6,52,2,,
342,1,,6,1,10,shade,Plantago insularis,,9,51,4,,
342,1,,6,2,10,shade,Plantago insularis,,9,59,4,,
342,1,,6,3,10,shade,Plantago insularis,,9,49,4,,
343,1,,7,1,10,shade,Plantago insularis,,9,57,5,,
343,1,,7,2,10,shade,Plantago insularis,,9,48,4,,
343,1,,7,3,10,shade,Plantago insularis,,9,50,5,,
344,1,,8,1,10,shade,Plantago insularis,,0,,,,
344,1,,8,2,10,shade,Plantago insularis,,,,,,
344,1,,8,3,10,shade,Plantago insularis,,,,,,
345,1,,9,1,10,shade,Plantago insularis,,9,45,4,,
345,1,,9,2,10,shade,Plantago insularis,,9,42,4,,
345,1,,9,3,10,shade,Plantago insularis,,9,50,4,,
