rep,dt,n,cor,sub_n
89,2018-10-24T11:11:01Z,45,0.659684194,50
90,2018-10-24T11:11:01Z,45,0.570722886,50
91,2018-10-24T11:11:01Z,45,0.441130593,50
92,2018-10-24T11:11:01Z,45,0.435610932,50
93,2018-10-24T11:11:01Z,45,0.411161813,50
94,2018-10-24T11:11:01Z,45,0.676331352,50
95,2018-10-24T11:11:01Z,45,0.469121628,50
96,2018-10-24T11:11:01Z,45,0.625258089,50
97,2018-10-24T11:11:01Z,45,0.505175656,50
98,2018-10-24T11:11:01Z,45,0.60319164,50
99,2018-10-24T11:11:01Z,45,0.455536141,50
100,2018-10-24T11:11:01Z,45,0.501959284,50
1,2018-10-24T11:11:01Z,40,0.056386509,50
2,2018-10-24T11:11:01Z,40,0.007550579,50
3,2018-10-24T11:11:01Z,40,0.506997551,50
4,2018-10-24T11:11:01Z,40,0.626202654,50
5,2018-10-24T11:11:01Z,40,0.608543915,50
6,2018-10-24T11:11:01Z,40,0.440197841,50
7,2018-10-24T11:11:01Z,40,0.482709017,50
8,2018-10-24T11:11:01Z,40,0.650193644,50
9,2018-10-24T11:11:01Z,40,0.574418044,50
10,2018-10-24T11:11:01Z,40,0.402744859,50
11,2018-10-24T11:11:01Z,40,0.410733559,50
12,2018-10-24T11:11:01Z,40,0.516874227,50
13,2018-10-24T11:11:01Z,40,0.208457951,50
14,2018-10-24T11:11:01Z,40,0.492222236,50
15,2018-10-24T11:11:01Z,40,0.363669177,50
16,2018-10-24T11:11:01Z,40,0.322595635,50
17,2018-10-24T11:11:01Z,40,0.537302218,50
18,2018-10-24T11:11:01Z,40,0.49528076,50
19,2018-10-24T11:11:01Z,40,0.54084278,50
20,2018-10-24T11:11:01Z,40,0.506051243,50
21,2018-10-24T11:11:01Z,40,0.672890811,50
22,2018-10-24T11:11:01Z,40,0.376819741,50
23,2018-10-24T11:11:01Z,40,0.546916454,50
24,2018-10-24T11:11:01Z,40,0.601924507,50
25,2018-10-24T11:11:01Z,40,0.593135791,50
26,2018-10-24T11:11:01Z,40,0.299444788,50
27,2018-10-24T11:11:01Z,40,0.551537197,50
28,2018-10-24T11:11:01Z,40,0.486239627,50
29,2018-10-24T11:11:01Z,40,0.512917192,50
30,2018-10-24T11:11:01Z,40,0.606961246,50
31,2018-10-24T11:11:01Z,40,0.537618906,50
32,2018-10-24T11:11:01Z,40,0.450057351,50
33,2018-10-24T11:11:01Z,40,0.701973173,50
34,2018-10-24T11:11:01Z,40,0.193386027,50
35,2018-10-24T11:11:01Z,40,0.531130987,50
36,2018-10-24T11:11:01Z,40,0.297880821,50
37,2018-10-24T11:11:01Z,40,0.37109633400000003,50
38,2018-10-24T11:11:01Z,40,0.627965332,50
39,2018-10-24T11:11:01Z,40,0.488019882,50
40,2018-10-24T11:11:01Z,40,0.501230821,50
41,2018-10-24T11:11:01Z,40,0.479417122,50
42,2018-10-24T11:11:01Z,40,0.526808382,50
43,2018-10-24T11:11:01Z,40,0.595515261,50
44,2018-10-24T11:11:01Z,40,0.603453633,50
45,2018-10-24T11:11:01Z,40,0.354883839,50
46,2018-10-24T11:11:01Z,40,0.571322589,50
47,2018-10-24T11:11:01Z,40,0.525663042,50
48,2018-10-24T11:11:01Z,40,0.658516916,50
49,2018-10-24T11:11:01Z,40,-0.005549642,50
50,2018-10-24T11:11:01Z,40,0.331633954,50
51,2018-10-24T11:11:01Z,40,0.460639224,50
52,2018-10-24T11:11:01Z,40,0.495950523,50
53,2018-10-24T11:11:01Z,40,0.126358541,50
54,2018-10-24T11:11:01Z,40,0.514584409,50
55,2018-10-24T11:11:01Z,40,0.572630104,50
