FID,uniID,SumAllYr,Sum2018,Sum2017,Sum2016,x_utm,y_utm,x_wgs,y_wgs,Aspect,Slope,Elev,KDF,Shrub_Cov,NDVI,Solar
132,36685,0,0,0,0,260221.501500000013039,3888861.450300000142306,-119.631016000000002,35.114077999999999,180.0000000,0.7161600,693.000000000000000,0.0000000,0.0003124,0.2380850,380238.000000000000000
133,45971,0,0,0,0,260021.501500000013039,3889421.450300000142306,-119.633370999999997,35.119075000000002,198.4349976,1.1322600,692.000000000000000,0.0000818,0.0305825,0.2173920,380204.000000000000000
134,54992,0,0,0,0,261161.501500000013039,3889961.450300000142306,-119.621028999999993,35.124209999999998,158.1990051,3.8510301,743.000000000000000,0.0000000,0.0000000,0.1303890,382370.000000000000000
135,54651,0,0,0,0,260981.501500000013039,3889941.450300000142306,-119.622996999999998,35.123987000000000,239.0359955,6.2393899,744.000000000000000,0.0000000,0.0037760,0.1226940,381540.000000000000000
136,49053,0,0,0,0,261901.501500000013039,3889601.450300000142306,-119.612812000000005,35.121142999999996,255.9640045,2.9503500,763.000000000000000,0.0000000,0.0604315,0.2089950,381868.000000000000000
137,57979,0,0,0,0,261141.501500000013039,3890141.450300000142306,-119.621300000000005,35.125827000000001,0.0000000,2.1475899,744.000000000000000,0.0000000,0.0078219,0.2285840,379441.000000000000000
138,38686,0,0,0,0,260401.501500000013039,3888981.450300000142306,-119.629078000000007,35.115201999999996,315.0000000,0.5064150,697.000000000000000,0.0000253,0.0008964,0.2464510,379686.000000000000000
139,54680,0,0,0,0,261561.501500000013039,3889941.450300000142306,-119.616637999999995,35.124124999999999,293.1990051,2.7251401,757.000000000000000,0.0000000,0.0463658,0.2418470,380776.000000000000000
140,50940,0,0,0,0,259801.501500000013039,3889721.450300000142306,-119.635869999999997,35.121724999999998,298.3009949,5.2723298,694.000000000000000,0.0000000,0.0039492,0.2339240,376861.000000000000000
141,55673,0,0,0,0,261501.501500000013039,3890001.450300000142306,-119.617312999999996,35.124651000000000,210.9640045,6.2393899,755.000000000000000,0.0000000,0.0004267,0.2042960,382925.000000000000000
